userId,username,totalPoints
6725771,"ferret irl",51.191400
13623476,"koyo",51.191400
16425951,"Lu2nar",51.191400
7141342,"Kippz",51.191400
16779690,"Exalon",51.191400
17213856,"Gloving Legend",49.997608
6942259,"Rebo",49.997608
12352050,"aurora on osu",49.549936
10902307,"UselessJohn",49.549936
12211248,"Hanayume",49.549936
18047920,"Froinks",49.400712
14252070,"sybau technique",49.102264
3163649,"GfMRT",49.069392
5286213,"Deppyforce",49.069392
14438574,"Ravexi",49.069392
1646397,"Crystal",49.069392
11940767,"Carlosflow",49.069392
8698024,"defii",49.069392
11317547,"Luccachu",49.069392
13212181,"Zanzabar",48.803816
11580377,"aidinth",48.800032
7341081,"Tikkanen",48.356144
12776754,"Joyi",47.908472
754565,"Dustice",47.904688
5724445,"MrFuture",47.606240
7342622,"Freddie Benson",47.606240
7351448,"fedotoff",47.311576
8370755,"_Twent",47.013128
1389663,"talala",47.009344
5447609,"Demonical",46.860120
11800154,"Sherbet",46.416232
4750008,"Skydiver",45.815552
10196805,"angelkanna",45.815552
3995630,"Rampax",45.815552
10807597,"-Ke15",45.815552
1501956,"Fuma",45.815552
18217876,"ESCRUPULILLO",45.666328
13056953,"Toy0Ta",45.073216
14139392,"Bazingasdead",43.278744
21706207,"gionuaS",42.234176
17851835,"bern1sh",42.234176
3517706,"[ Zane ]",42.084952
23640655,"spiky",41.338832
12204079,"Blah",41.338832
15429006,"palr",41.040384
5242158,"[Crz]Makii",40.891160
673549,"flansl",40.294264
11415230,"Gambler",40.294264
6387149,"kusuriya",40.294264
5472693,"Agent5d",40.294264
11806306,"Zyntex",39.846592
6194820,"laroxPL NoForm",39.548144
12169267,"315",38.862470
16036374,"MR JEFFERY",38.862470
6133101,"Arakii",38.503576
12598951,"dimchik",38.503576
17211525,"katalashka son",38.503576
14019207,"evankkk",38.503576
6673228,"amax",38.503576
11172360,"she gon pay me",38.503576
7547563,"Sebby",38.503576
23886866,"will smith",38.503576
25224927,"Cpk - The Wolf",38.503576
20745442,"Stoochi",38.503576
11508042,"Ravene",38.503576
28569876,"zeroly",38.503576
11320627,"MejiroMcQueen",38.503576
10204748,"hrds",38.055904
2317789,"Diaostrophism",37.757456
3673083,"Felrion",37.757456
16952010,"raffytaffy",37.757456
23303515,"Dugyy",37.757456
10748631,"Tommy315",37.757456
10359103,"Leasurex",37.459008
20138434,"tutvta",37.459008
29545680,"kr__",37.459008
13016277,"iryl",36.176438
6506107,"Rhythm blue",35.519096
2395405,"MAREK MARUCHA",35.519096
11472811,"Uchirrod",35.071424
15720216,"Jay12310",35.071424
14255887,"bashou",35.071424
13216227,"aza_",34.922957
5455713,"SrChispa",34.623752
4633724,"toon",34.623752
12434652,"Gonzah",34.623752
9988174,"bung wung",34.385750
3506793,"Viveliam",34.176080
8275006,"-pare",34.176080
1629553,"choke enough",34.176080
9303599,"MrNobady",34.176080
7774709,"Gigi8974",34.176080
1650010,"Aireu",34.176080
14848176,"Yellow cat",34.176080
6916642,"Maiaz",34.176080
5919819,"Woofel",34.176080
15556397,"yodeston",33.877632
10463344,"Marjus",33.877632
13872272,"Sobu",33.429960
12068522,"MumeiLover",33.429960
3328742,"Trail Mix",33.131512
14165027,"lonq noir",33.131512
8901306,"C-L",33.131512
12258658,"nujabes",33.131512
11491079,"sagiiT",32.953200
5783315,"Carbone",32.953200
18537849,"Kasperi",32.953200
8672069,"frieden",32.953200
15803185,"disperagioia",32.385392
6283858,"tan-",32.385392
7825971,"Firiiu",32.385392
19309181,"Indicolite",32.385392
14795251,"ded24lol",32.385392
6772064,"zyRelik",32.385392
12031584,"juujep",32.385392
12309147,"Mizeree",32.385392
4852013,"Monko2k",32.086944
7587734,"Failing",32.086944
1334384,"T A K A O",32.086944
4112304,"FINGERLOCK",31.788496
11547643,"pawb",31.788496
2064831,"Optimism",31.788496
11883100,"XimperiaL",31.788496
11673059,"DonnieGG",31.788496
6735738,"A L E P H",31.788496
11553201,"RafeuX",31.788496
5392289,"kent",31.788496
6695155,"Ankay",31.788496
13020346,"AbdulPlaysYT",31.788496
3521482,"Willy",31.788496
8629003,"-Aiden on osu-",31.788496
8165181,"revoh",31.788496
6541627,"disgo",31.788496
10486062,"Sunwraith",31.788496
15095811,"origin_",31.191600
17202789,"YMD",31.191600
16085078,"arekk",31.191600
13560194,"CharlioM9",31.191600
15910288,"hubbawubba",31.191600
11072084,"Atsacity",31.191600
14035338,"Evernight",31.191600
718454,"ThePooN",31.042376
4650315,"idke",31.042376
3048222,"Wakson",31.042376
4734244,"Informous",31.042376
7178423,"Teacchyyy",31.042376
6237416,"-Snowy-",31.042376
8082362,"TrickyPugster",30.804374
8382196,"kodama",30.804374
14633196,"r_kt",30.594704
11749569,"Grippeh",30.594704
9723127,"ChaiPhukChep",30.594704
10728620,"Nyura",30.594704
4980135,"Behwall",30.445480
11120124,"Xqeer",30.445480
14661718,"Stinkster",30.296256
12632210,"OceanMan28",30.296256
9049630,"Lefy",30.296256
3353661,"Garch",30.296256
10958852,"lifetime",30.296256
19659293,"Npoolyim",30.296256
5175726,"Calideon",30.147032
2922853,"suffix",30.147032
2303856,"Wieran",30.147032
6671641,"Tosen Jordan",30.147032
3072921,"Callionet",30.147032
9975427,"Dwagon",30.147032
12389546,"eloj",30.147032
12284608,"I7yTuH",30.147032
7787629,"rafal",29.848584
14936897,"-Hiikari-",29.102464
32029785,"Don t forget me",29.102464
18413177,"Bonc",29.102464
8957338,"Hyun2",29.102464
5276218,"Shuezi",29.102464
20534843,"DONCARLITOS",29.102464
11737265,"masik55",29.102464
18163163,"- Yuuki -",29.102464
16786480,"- Yuuu -",29.102464
16716683,"taze",29.102464
7802027,"Skill",28.953240
14084387,"danialinoo",28.953240
9106690,"-Petar",28.953240
15831826,"SmoothyCloud",28.953240
29044372,"Smoyy",28.953240
19882119,"BloxyYogurt",28.953240
12301296,"tsp648",28.953240
4248481,"Meniwa",28.804016
12352926,"Demegozi",28.804016
16849454,"Lyeli",28.654792
35331553,"Flare is Freia",28.654792
16270893,"kyojaku",28.505568
6744123,"Burning John",28.207120
6215032,"Aoi Kiseki",28.207120
4585186,"Nopekjk",28.207120
9920144,"Kryterion",28.207120
7096642,"WiggleCalt",28.207120
5413624,"Hibiki",28.207120
139670,"Vendemmia",28.207120
2155578,"Azer",28.207120
12215507,"Moonlit111",28.207120
12083446,"cihp",27.759448
5403374,"dasdwqdf",27.759448
4856562,"minus",27.759448
6800152,"lPogonyuto",27.759448
3771576,"Flami",27.759448
14264625,"- Fia -",27.610224
15537476,"k4rnu1",27.461000
10429510,"yah",27.461000
16082512,"nyachik",27.461000
13204059,"_brugh",27.461000
9803745,"rumii",27.461000
15346564,"Bairechuu",27.461000
5963637,"Jazzercize",27.013328
16094871,"hvke",27.013328
16314022,"MithiChang",27.013328
8573172,"Lightedd",27.013328
10717635,"Hakui Koyori",26.864104
27243450,"Zecks",26.714880
10145045,"Juh",26.714880
12226691,"Wxlther",26.714880
14671051,"Furamun",26.714880
9698177,"mouse nm player",26.714880
20092579,"MoJIHu9I_MaKcuM",26.714880
22986777,"shouponpon",26.714880
2848604,"toybot",25.670312
9523661,"Tabletti",25.670312
9436126,"Cocoamallows",25.670312
11636332,"-Yeji",25.670312
13330123,"mizto",25.670312
10133455,"Basherman",25.670312
3181083,"AJT",25.670312
11226645,"JackPaX",25.670312
8646059,"UberFazz",25.670312
4991273,"Chheng",25.670312
8928890,"Stylante",25.521088
18179814,"So_pro",25.521088
10398348,"-Puyu",25.521088
5992551,"[Bau]",25.521088
15427342,"Starbucks Pepsi",25.521088
7047218,"riwu",25.521088
9895270,"marbl",25.521088
6951444,"Fjell",25.521088
26653673,"BananaGamer1235",25.521088
14265708,"_singularity",25.521088
13966527,"Ant -w-",25.521088
12781767,"Tristan",25.521088
22396092,"Jerma985",25.521088
21011325,"mihail pikulev",25.521088
6596134,"Zonii",25.521088
9599681,"kaenen",25.521088
11113213,"Alyra",25.222640
10852203,"yencis",25.073416
15180662,"tgnalice",24.774968
11048151,"apisedo",24.774968
7387395,"Martair",24.774968
13033798,"mads",24.774968
16380723,"Ivanix",24.774968
14231641,"SparxieFan059",24.774968
15844515,"T1 FAKER",24.774968
15520572,"TetraDoge",24.774968
12145220,"Nekkid",24.774968
16802633,"-database-",24.774968
14361133,"Spacus",24.774968
12027472,"Ace on osu",24.774968
19130169,"Lemuze",24.774968
19666163,"Scyfyyy",24.774968
10806437,"FlipRopiik",24.774968
6662652,"Minil",24.625744
9820792,"nightlywind",24.625744
17064861,"Srr",24.625744
19485895,"unhappykuro",24.476520
6591496,"SadnessWillSear",24.476520
5496627,"Mac",24.476520
19605558,"fancy bro dude",24.476520
4687701,"Dropinx",24.476520
24018272,"BlaakCat",24.476520
19526828,"Icarussy",23.879624
13266755,"Xiel",23.730400
12529846,"Oxvenn",23.730400
2553519,"Camberos",23.730400
14024115,"zivxare",23.730400
12315498,"DataUser",23.730400
10783597,"kettoph",23.730400
16051221,"Dripster1",23.730400
16205029,"_EpicEnder",23.730400
13999629,"Cheriatric",23.730400
13323630,"Losorto",23.730400
9491900,"MyAngelNino",23.730400
15929865,"bottomhottom",23.730400
18740749,"Dathian",23.730400
8441074,"Lunacy_",23.730400
21369935,"whca",23.730400
12045254,"XenoPenguino",23.730400
14783866,"Forsit",23.730400
13253069,"BobrowyDealer",23.730400
15843402,"blobnom",23.730400
31406901,"3uma",23.730400
15004178,"rtx",23.730400
9402526,"Ghossert",23.730400
18688473,"Mayuri",23.431952
9694263,"Skrowell",23.431952
11415687,"Kurumiw",23.431952
6341977,"kasuwa",23.431952
22536015,"shwq",23.431952
15010335,"Klee_Torru",23.133504
25643883,"dsa",23.133504
10475420,"Ditroon",23.133504
16940378,"Jitterish",22.835056
2110845,"Rlsc",22.536608
19110609,"IcyTrip",22.536608
11405263,"Fametime",22.536608
11357673,"MarcelSvK",22.536608
15818398,"Yoo Da Hee",22.536608
6499896,"Winkero",22.536608
2204373,"dansi",22.536608
7415910,"Avenito",22.387384
14958380,"Clutch",22.387384
15887523,"SinqHD",22.238160
